FECHA;TMAX;TMIN;NOMBRE
2023/10/29;23.0;17.9;AEROPARQUE AERO
2023/10/29;22.9;14.2;AZUL AERO
2023/10/29;22.1;8.1;BAHIA BLANCA AERO
2023/10/29;3.5;-0.3;BARILOCHE AERO
2023/10/29;-4.7;-11.6;BASE BELGRANO II
2023/10/29;-6.2;-9.4;BASE CARLINI (EX JUBANY)
2023/10/29;-7.3;-13.7;BASE ESPERANZA
2023/10/29;-9.5;-19.7;BASE MARAMBIO
2023/10/29;-3.8;-8.2;BASE ORCADAS
2023/10/29;-2.4;-12.8;BASE SAN MARTIN
2023/10/29;21.0;13.0;BENITO JUAREZ AERO
2023/10/29;26.8;16.6;BERNARDO DE IRIGOYEN AERO
2023/10/29;23.1;14.0;BOLIVAR AERO
2023/10/29;24.0;18.0;BUENOS AIRES OBSERVATORIO
2023/10/29;24.3;17.6;CAMPO DE MAYO AERO
2023/10/29;41.0;16.4;CATAMARCA AERO
2023/10/29;37.8;20.0;CERES AERO
2023/10/29;40.3;22.0;CHAMICAL AERO
2023/10/29;4.3;-0.2;CHAPELCO AERO
2023/10/29;38.0;16.5;CHEPES
2023/10/29;38.0;15.6;CHILECITO AERO
2023/10/29;19.4;8.7;CIPOLLETTI
2023/10/29;16.4;4.4;COMODORO RIVADAVIA AERO
2023/10/29;30.5;20.0;CONCORDIA AERO
2023/10/29;38.0;20.3;CORDOBA AERO
2023/10/29;38.8;21.3;CORDOBA OBSERVATORIO
2023/10/29;20.9;10.4;CORONEL SUAREZ AERO
2023/10/29;31.5;17.7;CORRIENTES AERO
2023/10/29;;12.9;DOLORES AERO
2023/10/29;7.2;2.2;EL BOLSON AERO
2023/10/29;10.4;0.0;EL CALAFATE AERO
2023/10/29;24.0;17.5;EL PALOMAR AERO
2023/10/29;;21.0;ESCUELA DE AVIACION MILITAR AERO
2023/10/29;5.3;-1.4;ESQUEL AERO
2023/10/29;25.0;15.1;EZEIZA AERO
2023/10/29;34.8;17.2;FORMOSA AERO
2023/10/29;24.4;11.7;GENERAL PICO AERO
2023/10/29;7.0;0.0;GOBERNADOR GREGORES AERO
2023/10/29;29.4;18.0;GUALEGUAYCHU AERO
2023/10/29;31.4;19.2;IGUAZU AERO
2023/10/29;;18.5;ITUZAINGO
2023/10/29;;;JACHAL
2023/10/29;39.5;18.4;JUJUY AERO
2023/10/29;36.2;14.7;JUJUY U N
2023/10/29;23.6;14.0;JUNIN AERO
2023/10/29;22.7;15.7;LA PLATA AERO
2023/10/29;22.5;4.2;LA QUIACA OBSERVATORIO
2023/10/29;37.3;19.1;LA RIOJA AERO
2023/10/29;25.5;15.6;LABOULAYE AERO
2023/10/29;23.4;14.6;LAS FLORES
2023/10/29;40.6;21.0;LAS LOMITAS
2023/10/29;14.8;5.2;MALARGUE AERO
2023/10/29;10.0;1.2;MAQUINCHAO
2023/10/29;23.0;14.3;MAR DEL PLATA AERO
2023/10/29;32.0;18.8;MARCOS JUAREZ AERO
2023/10/29;24.9;17.5;MARIANO MORENO AERO
2023/10/29;33.0;22.2;MENDOZA AERO
2023/10/29;;;MENDOZA OBSERVATORIO
2023/10/29;30.0;18.5;MERCEDES AERO (CTES)
2023/10/29;24.5;17.0;MERLO AERO
2023/10/29;38.0;18.0;METAN
2023/10/29;30.2;19.9;MONTE CASEROS AERO
2023/10/29;24.2;17.5;MORON AERO
2023/10/29;18.0;7.4;NEUQUEN AERO
2023/10/29;24.0;14.0;NUEVE DE JULIO
2023/10/29;;;OBERA
2023/10/29;21.5;13.4;OLAVARRIA AERO
2023/10/29;41.2;22.7;ORAN AERO
2023/10/29;31.9;20.9;PARANA AERO
2023/10/29;10.3;3.3;PASO DE INDIOS
2023/10/29;29.6;18.4;PASO DE LOS LIBRES AERO
2023/10/29;24.2;14.4;PEHUAJO AERO
